article_topic,sentence,label
"Defiant Ten Hag: We can turn this around and make season a success","You see that spirit in this team and you see this is a team they want to fight for each other.","1"
"Defiant Ten Hag: We can turn this around and make season a success","Also you can see the fans, they are disappointed, but they kept with us and they kept supporting us from the first moment till the last moment.","1"
"Defiant Ten Hag: We can turn this around and make season a success","We are in it together.","1"
"Defiant Ten Hag: We can turn this around and make season a success","Manchester United have been open in admitting the biggest problem at the club in the post-Sir Alex Ferguson era has been the lack of a football-first approach, a proper brains trust with the best in the business and a structure that is in keeping with elite clubs across Europe.","1"
"Defiant Ten Hag: We can turn this around and make season a success","There is the appreciation that so many good managers have come to Old Trafford and failed so the problem is with the foundation and correcting that as a starting point.","1"
"Defiant Ten Hag: We can turn this around and make season a success","They also know Erik ten Hag has dealt with so much off-pitch turmoil - whether that be player discipline or the takeover dragging on - and the new leadership football team felt he didn't have the best support, knowledge and help around him.","1"
"Defiant Ten Hag: We can turn this around and make season a success","They allowed him to change his coaching team this summer, influence recruitment again, and have wanted to give him at the very least a full season under this new INEOS-powered set up to see if there'll be improvement.","1"
"Defiant Ten Hag: We can turn this around and make season a success","However, if dismal performances like Tottenham become the norm, it will be incredibly hard for them to stick to that approach.","1"
"Defiant Ten Hag: We can turn this around and make season a success","The first half was as bad as it gets.","0"
"Defiant Ten Hag: We can turn this around and make season a success","This is a shocking day, a sobering day.","0"
"Defiant Ten Hag: We can turn this around and make season a success","This is a really bad day for Ten Hag.","0"
"Defiant Ten Hag: We can turn this around and make season a success","You can't say it came from nowhere because Manchester United have been inconsistent all season, but they have chosen to put in their very worst performance, their very worst possible showing.","1"
"Defiant Ten Hag: We can turn this around and make season a success","It was an absolutely disgusting performance in that first half in effort, quality, everything you would want in a football team, and there are going to be a lot of questions to answer for that group and the manager in the next week.","1"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","It's like a process as you do always.","0"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","You play a game and you review it and take the assessments out, you set your conclusions and you take it from there.","1"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","It is by watching it back, watching back the video from the game and then see where the problems are, and then find the solutions for the problems.","1"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","Oh, one time.","0"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","Sometimes you scroll a little bit back to find more understanding, find a deeper understanding, but only one time.","1"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","Then I had seen alongside the pitch as well, so I have my view.","0"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","It's a bad performance and we have problems and I have to address the problems and to give the solutions to the team.","1"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","The most important is always keeping the belief.","1"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","You stay in the game by keeping the belief.","1"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","That's the most important message that we have to give because if you lose your faith you lose everything.","1"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","We have to keep going and stick to the plan and move on.","1"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","For me, belief and confidence, it has to do with each other.","1"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","You always need to believe.","0"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","To believe as an individual and believe in your team-mate.","0"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","Believe in your team and believe in the plan you execute.","1"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","That is absolutely what you need as a team when you go into a game and during a game.","1"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","You have to keep this always.","0"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","It's shared responsibility.","0"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","That's my job, I have to make them play.","0"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","I have to give instructions about how they have to play and when there are problems in the game, I have to teach them how they sort the problems.","1"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","We are there together.","0"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","When the players have a bad performance then I haven't done my job great because they didn't play as I expected them to do.","1"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","We are there together and we have to fight together to get out of this.","1"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","For a long period, we are in transition at Manchester United.","0"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","From the moment I came in, we knew we had to change.","0"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","We had to replace some older players and bring new players in.","0"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","Our choice was to bring young players in and you know that takes time to get the messages on board, to get a game model on board and to introduce a new culture that takes time.","1"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","In the meantime, you have to win and I think we have proven in the last two years, and we win.","1"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","And I've proven in my career that always I will win.","1"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","The last six years I have eight trophies.","0"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","We have to embed the game model, we have to embed a stronger team as we have now and so we have to work on our problems and give the solutions.","1"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","We have a good potential on players so once it's embedded we will go and we will drive, and I'm sure we will achieve the targets we have set for this season.","1"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","That is always winning trophies and finishing as high as possible of course in the league because that is definitely a very important purpose for us.","1"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","Nothing is easy, but this is nothing for me to panic about because I experience it so often with my teams during seasons, that you are facing those problems.","1"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","We can sort them out, this team can sort this out and when it's in the individual area we can sort those problems out.","1"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","We are going to make a success from the season.","0"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","We're talking continually.","0"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","We are talking about how we can improve the process.","0"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","We are all very impatient and our fans are and that is what they are entitled to.","0"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","But we are definitely impatient as well and we want to win every game and when we are losing everyone is disappointed, everyone is frustrated.","1"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","It's also our fuel to get better.","0"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","Very impatient.","0"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","I hate losing of course.","0"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","I have to give the solutions to my team, so I have to focus on what has to be better.","1"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","They are very disappointed and that's normal.","0"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","But I know them, they are resilient people and they will bounce back.","1"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","We do this after every game.","0"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","We sit together, we give our opinion and there is a two-way communication from the manager, coaches to the players and back.","0"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","We are on one page and we make sure we are one page and we stay on one page.","0"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","Yes, and we have seen this in this group there is a good spirit.","0"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","Even after all the setbacks from yesterday [Sunday], they kept going.","0"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","You see that spirit in this team and you see this is a team they want to fight for each other.","0"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","Also you can see the fans and they are disappointed but they kept with us and they kept supporting us from the first moment until the last moment.","0"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","We are in it together.","0"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","When you are managing Manchester United you know everyone will judge you much more than any other club.","0"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","You have to deal with criticism and don't make a big deal from it and focus on the things where you are appointed to.","1"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","That is managing the team, getting the best out of the team.","0"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","Don't focus on negative opinions on you as a person.","1"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","That doesn't help the process and I'm here to win so I have to show my team that I give the direction and keep going in that direction we want to go.","1"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","Of course I'm aware of it.","0"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","Sometimes there are very good recommendations and I take them on board.","0"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","But most of the times I don't read because that's too much.","0"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","When you are managing this club it has too many opinions.","0"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","I can't take them all and give my judgment.","0"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","It's more important I have to see where my team is, I have to see in which state they are and I have again.","1"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","I've said it now several times I have to give solutions for the problems we are facing in this moment","1"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","After every game you have to get yourself away from the game for a period.","1"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","I am also a person.","0"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","I also have my emotions because I have to review the game clinically and get away from the emotions.","1"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","Once I get some time away from the last game, I go in it and I review it and I set the right conclusions.","0"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","I'm not thinking about it, I'm not anxious.","0"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","We are together.","0"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","We created a togetherness in the summer with the ownership and the leadership.","0"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","We made this agreement and we were all behind it.","0"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","We also know the strategy [is to bring in] young players in a transition period.","0"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","They also know in the end when we are May, in all my last six seasons, always there were trophies.","1"
"'Stick to the plan' - Ten Hag interview in full ahead of crunch week","That is what we are also now aiming for.","0"
"Revealed: The Premier League's fastest players","United were trailing 1-0 in first-half stoppage-time when Mason Mount brought the ball out from his own box and looked to unleash Alejandro Garnacho down the right flank - but Van de Ven closed down the winger at 37.12 kmh to sweep the ball out of play.","0"
"Revealed: The Premier League's fastest players","That burst of pace almostmatched his all-time record speed of 37.38 kmh- when he raced back to catch Keane Lewis-Potter during the 3-2 win over Brentford in January this year.","0"
"Revealed: The Premier League's fastest players","The Netherlands international also smashed the 37 kmh barrier against Newcastle in April - albeit during a failed attempt to stop Alexander Isak from doubling the Magpies' advantage.","0"
"Revealed: The Premier League's fastest players","This term, no other player has even smashed the 36 kmh barrier.","0"
"Revealed: The Premier League's fastest players","Van de Ven intercepted a United attack with just three minutes on the clock and travelled 67.13m with the ball at his feet - from midway inside his own half to the opposition penalty area - before squaring a pass for Brennan Johnson to tap home.","0"
"Revealed: The Premier League's fastest players","That carry distance falls just 0.6m shy of this season's current record-breaking distance - when he teed up Heung-Min Son during the 4-0 win over Everton in August.","0"
"Revealed: The Premier League's fastest players","Ange Postecoglou's high-intensity style has transformed Tottenham into the Premier League's most rapid team.","1"
"Revealed: The Premier League's fastest players","Taking the average top speed of the 10 most-used outfield players for each team this term, Spurs are out on their own with 33.7 kmh.","0"
"Revealed: The Premier League's fastest players","And it isn't just about reaching breakneck speeds when called upon: Spurs have clocked a league-topping 1,078 sprints during their opening six league games.","0"
"Revealed: The Premier League's fastest players","Talisman and club captain Heung-Min Son has registered a team-topping 118 sprints - but still sits more than 30 shy of table-topping Newcastle forward Anthony Gordon (151).","0"
"Revealed: The Premier League's fastest players","But Tottenham's league-high sprinting numbers are a result of numerous players applying the afterburners frequently, such as Destiny Udogie (112), Dejan Kulusevski (108) and Pedro Porro (105).","0"
"Revealed: The Premier League's fastest players","In addition to pure pace, Spurs are also the most mobile side off the ball with a table-topping 1,091 off-the-ball runs.","0"
"Revealed: The Premier League's fastest players","Kulusevski has attempted 175 of these runs - only Everton striker Dominic Calvert-Lewin (216) has attempted more.","0"
"Revealed: The Premier League's fastest players","Meanwhile, Dominic Solanke ranks seventh with 154 - despite missing two games with an ankle injury.","0"
"Revealed: The Premier League's fastest players","Indeed, the England striker ranks top of this metric since the start of last season.","0"
"Revealed: The Premier League's fastest players","Spurs travel to Brighton under the Sky cameras on Sunday, with Fabian Hurzeler's side sitting one point and one position behind Spurs, while also registering impressive running metrics - not for speed, but endurance.","0"
"Revealed: The Premier League's fastest players","The Seagulls have covered 667km this term - only Bournemouth have surpassed that distance.","0"
"Revealed: The Premier League's fastest players","Indeed, Manchester City, Spurs and Brighton are the only teams to average more than 60 per cent possession this term.","0"
"Revealed: The Premier League's fastest players","Those three teams also typically win the ball back at least two metres higher upfield than any other team.","0"
"Merson Says: Chelsea will hurt themselves with obsessive style","You go and watch them and you're squeezing your programme every time they try it.","0"
"Merson Says: Chelsea will hurt themselves with obsessive style","They pass out, and you're anxious the whole time.","0"
"Merson Says: Chelsea will hurt themselves with obsessive style","It's not like watching Man City or Arsenal, the way they flow through the press.","0"
"Merson Says: Chelsea will hurt themselves with obsessive style","It's like grabbing onto your seat stuff.","0"
"Merson Says: Chelsea will hurt themselves with obsessive style","Chelsea can hurt anyone on their day, but on other days they will hurt themselves because it's not completely fluid.","1"
"Merson Says: Chelsea will hurt themselves with obsessive style","You can't keep scoring four goals every week.","0"
"Merson Says: Chelsea will hurt themselves with obsessive style","But I can't knock the start.","0"
"Merson Says: Chelsea will hurt themselves with obsessive style","I'm penny-pinching a bit.","0"
"Merson Says: Chelsea will hurt themselves with obsessive style","Chelsea can't get carried away.","0"
"Merson Says: Chelsea will hurt themselves with obsessive style","They can't lose focus - what really is the aim?","0"
"Merson Says: Chelsea will hurt themselves with obsessive style","You would take fourth and a cup run.","0"
"Merson Says: Chelsea will hurt themselves with obsessive style","The Europa Conference League gives them a chance to make history, no club has ever won every European trophy.","1"
"Merson Says: Chelsea will hurt themselves with obsessive style","Enzo Maresca has got to have a bit of luck along the way, and he has.","1"
"Merson Says: Chelsea will hurt themselves with obsessive style","Chelsea shouldn't have beaten Bournemouth, and the Crystal Palace game was in the balance.","1"
"Merson Says: Chelsea will hurt themselves with obsessive style","They could easily be in the bottom half; you're playing with fine lines here.","1"
"Merson Says: Chelsea will hurt themselves with obsessive style","With the squad he's got and how big it is, you at least know the team now.","0"
"Merson Says: Chelsea will hurt themselves with obsessive style","I was worried it would be five or six changes every week but that hasn't been the case.","0"
"Merson Says: Chelsea will hurt themselves with obsessive style","It's been quite consistent and solid.","0"
"Merson Says: Chelsea will hurt themselves with obsessive style","Certain players play every week and that's important.","0"
"Merson Says: Chelsea will hurt themselves with obsessive style","I've said that Rodri is the only player in the world who walks into any team and now everyone is jumping on the bandwagon about Cole Palmer.","1"
"Merson Says: Chelsea will hurt themselves with obsessive style","He probably won't play for England - does he play ahead of Jude Bellingham?","0"
"Merson Says: Chelsea will hurt themselves with obsessive style","But he has been outstanding for Chelsea, exceptional.","1"
"Merson Says: Chelsea will hurt themselves with obsessive style","I'm a big fan.","0"
"Merson Says: Chelsea will hurt themselves with obsessive style","He's a special player.","0"
"Merson Says: Chelsea will hurt themselves with obsessive style","It just shows you the standard at Man City, because he didn't get anywhere near that team.","1"
"Merson Says: Chelsea will hurt themselves with obsessive style","Everything goes through Palmer at Chelsea and that would never be the case at Man City.","1"
"Merson Says: Chelsea will hurt themselves with obsessive style","You give the ball to Kevin de Bruyne or Phil Foden or Bernardo Silva.","0"
"Merson Says: Chelsea will hurt themselves with obsessive style","Palmer would touch the ball much less, probably half the amount.","0"
"Merson Says: Chelsea will hurt themselves with obsessive style","He's still a big fish in a big pond at Chelsea, and he's producing.","0"
"Merson Says: Chelsea will hurt themselves with obsessive style","He likes that the play comes through him, that's where he thrives.","0"
"Merson Says: Chelsea will hurt themselves with obsessive style","You keep on doing the same thing, you get the same results, it doesn't matter what you do in life.","1"
"Merson Says: Chelsea will hurt themselves with obsessive style","It's happening again and again.","0"
"Merson Says: Chelsea will hurt themselves with obsessive style","I don't see an upcoming fixture that is Erik ten Hag's get-out-of-jail-free card.","1"
"Merson Says: Chelsea will hurt themselves with obsessive style","They've got Porto and then Aston Villa, they are bang in trouble.","1"
"Merson Says: Chelsea will hurt themselves with obsessive style","It's alright saying 'Oh, we'll stick with him' - they got battered at the weekend.","1"
"Merson Says: Chelsea will hurt themselves with obsessive style","They got rinsed by Tottenham.","0"
"Merson Says: Chelsea will hurt themselves with obsessive style","If I look from a distance, I see a team that doesn't know what they are doing.","1"
"Merson Says: Chelsea will hurt themselves with obsessive style","They don't know when to press, when to drop off, it's so disjointed.","1"
"Merson Says: Chelsea will hurt themselves with obsessive style","I find Man Utd a hard watch.","0"
"Merson Says: Chelsea will hurt themselves with obsessive style","This looks like a team that's never played together before.","1"
"Merson Says: Chelsea will hurt themselves with obsessive style","It looks like a lorry load of top-quality players turning up for a trial.","1"
"Merson Says: Chelsea will hurt themselves with obsessive style","They've all been released from their clubs and invited to play a game together and for us to watch - there's nothing there.","1"
"Merson Says: Chelsea will hurt themselves with obsessive style","It's weird.","0"
"Merson Says: Chelsea will hurt themselves with obsessive style","I don't want to pick on Marcus Rashford, but he loses the ball and just jogs on like it was unlucky.","1"
"Merson Says: Chelsea will hurt themselves with obsessive style","Sometimes you've got to ask: are the players good enough?","1"
"Merson Says: Chelsea will hurt themselves with obsessive style","We go on about the manager, but what about the players?","1"
"Merson Says: Chelsea will hurt themselves with obsessive style","They were made to look silly, there was no shape, nothing.","0"
"Merson Says: Chelsea will hurt themselves with obsessive style","Even Kobbie Mainoo plays like a 30-year-old now.","1"
"Merson Says: Chelsea will hurt themselves with obsessive style","I don't want to be harsh, but he's not sprinting around the pitch.","1"
"Merson Says: Chelsea will hurt themselves with obsessive style","It's like he has seen others do it, and picked up bad habits.","1"
"Merson Says: Chelsea will hurt themselves with obsessive style","When he first got into the team he was bursting with energy, pass, run, bang.","0"
"Merson Says: Chelsea will hurt themselves with obsessive style","I'm watching Mason Mount, and it's not the same player - it's mind-blowing.","1"
"Merson Says: Chelsea will hurt themselves with obsessive style","When I look at top coaches or managers - like Pep Guardiola, Mikel Arteta and Jurgen Klopp - they improve players, they make players better.","1"
"Merson Says: Chelsea will hurt themselves with obsessive style","I look at the Man Utd team and since Ten Hag has been there, no player has improved, no player has gone to another level.","1"
"Merson Says: Chelsea will hurt themselves with obsessive style","What has happened?","0"
"Merson Says: Chelsea will hurt themselves with obsessive style","This is the biggest club in the world.","0"
"Merson Says: Chelsea will hurt themselves with obsessive style","We all lose confidence, it's hard, but the only thing that gets you out of that is hard work.","1"
"Merson Says: Chelsea will hurt themselves with obsessive style","It was cringeworthy on Sunday.","0"
"Merson Says: Chelsea will hurt themselves with obsessive style","Tottenham could have beaten them five or six, so could Liverpool a few weeks ago.","1"
"Merson Says: Chelsea will hurt themselves with obsessive style","They both missed chances to score more but it was like it didn't really matter because the result was never going to change.","1"
"Merson Says: Chelsea will hurt themselves with obsessive style","Man Utd might have a couple of good results here and there because they still have good players, but this is the same old story.","1"
"Merson Says: Chelsea will hurt themselves with obsessive style","They are falling further and further behind - they are behind Tottenham now, well behind.","1"
"Papers: Everton could try to tempt Mourinho","Everton could be set to bring Jose Mourinho back to the Premier League if the Friedkin Group complete their potential takeover of the Toffees.","1"
"Papers: Everton could try to tempt Mourinho","The Manchester United co-owner, Sir Jim Ratcliffe, has added to the uncertainty of Erik ten Hag's future by declaring any decision on the manager is not my call.","1"
"Papers: Everton could try to tempt Mourinho","Eddie Howe has indicated a preference for Newcastle remaining at St James' Park rather than moving to a new stadium and described the club's potential relocation as a betrayal.","1"
"Papers: Everton could try to tempt Mourinho","Manchester City are on a collision course with the Premier League again after the champions' plea for a delayed start to next season was rejected.","1"
"Papers: Everton could try to tempt Mourinho","The outcome of the Lassana Diarra case has everybody worried, according to West Ham vice-chairperson Karren Brady.","0"
"Papers: Everton could try to tempt Mourinho","Chelsea's academy has been boosted by the arrival of a number of leadership hires from Premier League rivals as the Blues look to build on Cobham's reputation as a conveyor belt of talent.","0"
"Papers: Everton could try to tempt Mourinho","Kevin De Bruyne has asked to be left out of Belgium's upcoming games, coach Domenico Tedesco has revealed.","0"
"Papers: Everton could try to tempt Mourinho","Former Liverpool captain Jordan Henderson made a surprise appearance at the Reds' AXA Training Centre on Friday.","0"
"Papers: Everton could try to tempt Mourinho","Mikel Arteta doesn't mind Bukayo Saka talking up Arsenal's title chances - even when their bogey team is coming to town.","0"
"Papers: Everton could try to tempt Mourinho","Former Manchester United coach Rene Meulensteen has admitted he would be open to a return if Ruud van Nistelrooy was to become manager.","1"
"Papers: Everton could try to tempt Mourinho","Leicester will not appeal the decision to ban head coach Michael Cheika despite being left incensed at the shambolic disciplinary process and questioning the panel's impartiality.","1"
"Papers: Everton could try to tempt Mourinho","Indian Premier League franchises could sign players to multi-team contracts - which include the Hundred - as part of plans being discussed to help the English competition lure the world's best talent.","0"
"Papers: Everton could try to tempt Mourinho","Jimmy Thelin has told those tipping Aberdeen as title contenders that the Don have won nothing yet.","1"
"Papers: Everton could try to tempt Mourinho","Rangers were sweating on a partial stadium ban after pyro chaos at Ibrox on Thursday night.","0"
"Explained: Why Man Utd are standing by Ten Hag","There is the appreciation that so many good managers have come to Old Trafford and failed so the problem is with the foundation and correcting that as a starting point.","1"
"Explained: Why Man Utd are standing by Ten Hag","They also know Erik ten Hag has dealt with so much off-pitch turmoil - whether that be player discipline or the takeover dragging on - and the new leadership football team felt he didn't have the best support, knowledge and help around him.","1"
"Explained: Why Man Utd are standing by Ten Hag","They allowed him to change his coaching team this summer, influence recruitment again, and have wanted to give him at the very least a full season under this new INEOS-powered set up to see if there'll be improvement.","1"
"Explained: Why Man Utd are standing by Ten Hag","However, if dismal performance like Tottenham becomes the norm, it will be incredibly hard for them to stick to that approach.","1"
"Explained: Why Man Utd are standing by Ten Hag","A lot is a bit of an understatement - it's over £600m spent on recruitment during his tenure, but the profile of player did change this summer under INEOS with none signed over the age of 26.","0"
"Explained: Why Man Utd are standing by Ten Hag","The five signings brought in during the window had no Premier League experience so there was an understanding that an adjustment period would be necessary.","1"
"Explained: Why Man Utd are standing by Ten Hag","Matthijs De Ligt, Noussair Mazraoui and Manuel Ugarte joined late, Joshua Zirkzee missed the pre-season tour and Leny Yoro got injured during the first match in the US, so there are mitigating circumstances.","1"
"Explained: Why Man Utd are standing by Ten Hag","None of them excuse the sorry performance against Tottenham, though.","0"
"Explained: Why Man Utd are standing by Ten Hag","Ten Hag can point to the development of Amad, Kobbie Mainoo and Alejandro Garnacho to show he is advancing young talent, and the club have spoken about patience.","1"
"Explained: Why Man Utd are standing by Ten Hag","The question they will be asking themselves, however, is if this is really the best football this squad can play?","0"
"Explained: Why Man Utd are standing by Ten Hag","United are 13th in the table, already six points off the Champions League places with as many games played.","0"
"Explained: Why Man Utd are standing by Ten Hag","They have failed to score in three of their past four top-flight games and only Southampton, in 19th, have struggled to find the net more than Ten Hag's side this season.","0"
"Explained: Why Man Utd are standing by Ten Hag","The dismal surrender against Tottenham was the latest in a series of horror shows, adding to the 7-0 scorching by Liverpool, the 4-0 defeat to Crystal Palace, the humbling at the hands of Brentford by the same margin… How many more critical weeks can Ten Hag successfully navigate during his Old Trafford tenure?","0"
"Explained: Why Man Utd are standing by Ten Hag","The problem the Dutchman has is that some of the criminal flaws seen on Sunday - like not putting pressure against the ball and being so easy to play against - are recurring rather than a one-off.","1"
"Explained: Why Man Utd are standing by Ten Hag","The issue for the club is the managerial landscape hasn't shifted since the summer, when they decided Ten Hag was their best option at the helm - bar the availability of Gareth Southgate.","1"
"Explained: Why Man Utd are standing by Ten Hag","And they are aware appointing the former England manager would not be well received by the fanbase.","0"
"Explained: Why Man Utd are standing by Ten Hag","Prior to the 3-0 capitulation against Tottenham, the internal view at United was that despite the inconsistency of results this season, the team were showing signs of improvement in both their attacking and defensive metrics.","1"
"Explained: Why Man Utd are standing by Ten Hag","The lack of a clinical edge in the final third was flagged as the biggest concern.","0"
"Explained: Why Man Utd are standing by Ten Hag","However, familiar bad habits resurfaced against Spurs, which increases the scrutiny on Ten Hag regardless of what options are available.","1"
"Explained: Why Man Utd are standing by Ten Hag","With two international breaks up ahead, he is fighting for his job again because while the football leadership structure want to give Ten Hag at least a full season under the new set-up, more performances like Sunday won't be tolerated.","1"
"Explained: Why Man Utd are standing by Ten Hag","This can be cut up a number of ways.","0"
"Explained: Why Man Utd are standing by Ten Hag","Firstly, the silence leading up to the FA Cup final when reports surfaced that Ten Hag was due to lose his job regardless of the result at Wembley spoke volumes.","1"
"Explained: Why Man Utd are standing by Ten Hag","That their strategic review following victory against Manchester City then dragged on for two-and-a-half weeks, and encompassed openly engaging managers on the possibility of replacing Ten Hag before deciding to stick with him, told the same story as their silence; they were not fully convinced with the man at the helm.","1"
"Explained: Why Man Utd are standing by Ten Hag","That process and speaking to candidates which included Thomas Tuchel, Roberto De Zerbi, Kieran McKenna, Mauricio Pochettino and Thomas Frank ensured that at the first sign of trouble this season, Ten Hag's position was going to come under threat and lead to unrelenting noise and pressure.","1"
"Explained: Why Man Utd are standing by Ten Hag","Sporting director Dan Ashworth and CEO Omar Berrada, two of the most influential decision-makers if there is to be a change in the dugout, were not involved in the conclusion of keeping Ten Hag in the summer as it preceded their employment with United.","0"
"Explained: Why Man Utd are standing by Ten Hag","The choice was driven by Sir Jim Ratcliffe and Sir Dave Brailsford.","0"
"Explained: Why Man Utd are standing by Ten Hag","INEOS will counter that their process was laboured and guaranteed Ten Hag wouldn't be a sitting duck by stating it was a thorough review which required time and they have backed their guy in the transfer market and on the record.","1"
"Explained: Why Man Utd are standing by Ten Hag","The idea of granting him a chance to work under the new and improved structure is fair and makes sense but how they applied it - the ignominy of Ten Hag reading and hearing about their meetings with other managers to potentially replace him and not being firm and certain about their intentions even before Wembley - was flawed.","1"
"Explained: Why Man Utd are standing by Ten Hag","A reminder, too, that the manager had revealed the review and his discussion with United's hierarchy had already happened before the FA Cup final.","0"
"Explained: Why Man Utd are standing by Ten Hag","Despite already having all the information on last season and with Ten Hag himself believing the assessment had already been done, the club insisted their review only started after the Wembley win.","1"
"Explained: Why Man Utd are standing by Ten Hag","The accusations persist that the hierarchy were ultimately influenced by the superb performance against City, and were hamstrung by financial parameters in appointing a successor.","1"
"Explained: Why Man Utd are standing by Ten Hag","Had Ten Hag not delivered a second trophy, would he have survived overseeing unwanted records of new lows in the Premier League and Champions League last season?","1"
"Explained: Why Man Utd are standing by Ten Hag","Yes - some sources at the club were even saying to me that they felt it was the strongest position he'd been in since winning the League Cup final in 2023.","0"
"Explained: Why Man Utd are standing by Ten Hag","Ten Hag had survived the strategic review, gave the leadership team a piece of his mind about professional respect and needing to work in an open, honest and collaborative way, got to redesign his coaching staff and influence recruitment.","0"
"Explained: Why Man Utd are standing by Ten Hag","Ten Hag would say this is his first season under a proper football structure and rattle off all the things he's had to deal with since taking charge: Cristiano Ronaldo, the Mason Greenwood situation, the takeover, Marcus Rashford's ill-discipline, an attempt to get him the sack through the press, being on trial for his job once INEOS took control of the sporting side of the club, an almighty injury crisis.","1"
"Explained: Why Man Utd are standing by Ten Hag","He would say a trophy and Champions League football in his first season followed by rescuing a torrid last campaign by landing the FA Cup at Man City's expense merited another chance.","1"
"Explained: Why Man Utd are standing by Ten Hag","Ten Hag has repeatedly asked to be judged at the end of this season, not now.","0"
"Explained: Why Man Utd are standing by Ten Hag","His critics will point out that through all of this, United do not have a defined way of playing or a discernible identity.","1"
