article_topic,sentence
Papers: Borussia Dortmund want Sunderland star Jobe Bellingham,Incoming Manchester United boss Ruben Amorim will hold crunch talks with Ruud Van Nistelrooy on Monday about the Dutchman's future at the club.
Papers: Borussia Dortmund want Sunderland star Jobe Bellingham,"Arsenal must string together a run of as many as six wins in a row to keep their slender Premier League title hopes alive, according to Paul Merson."
Papers: Borussia Dortmund want Sunderland star Jobe Bellingham,"Real Madrid have ruled out bringing Sergio Ramos back to the club, believing a move for the former captain is ""impossible"", but the club are interested in signing a former Man City Premier League winner, according to reports."
Papers: Borussia Dortmund want Sunderland star Jobe Bellingham,"Erik ten Hag made a surprise appearance watching former club Ajax on Sunday in the wake of being sacked by Manchester United, sparking suggestions he could be set to return to the club."
Papers: Borussia Dortmund want Sunderland star Jobe Bellingham,"Philippe Clement understands why Rangers fans made their feelings heard after he subbed off Connor Barron - but told the Ibrox boo boys ""you don't know everything""."
Now it's four losses in a row! Man City stunned by Brighton fightback,"Amex StadiumAttendance:Attendance31,715."
Now it's four losses in a row! Man City stunned by Brighton fightback,Manchester City's blip turned into a crisis as Brighton scored twice in five minutes late on to beat the champions 2-1 - and inflict a fourth straight defeat on City for the first time under Pep Guardiola.
Now it's four losses in a row! Man City stunned by Brighton fightback,"City came into the game on the back of three successive defeats to Bournemouth, Tottenham and Sporting - but their woes looked to be easing as the champions led with 12 minutes to go through Erling Haaland's first-half strike."
Now it's four losses in a row! Man City stunned by Brighton fightback,"But recently-injured duo Joao Pedro and Matt O'Riley - the latter on his delayed Premier League debut after an ankle problem stuttered his summer move from Celtic - stepped off the bench to send the Amex Stadium into raptures - not only costing City points in the title race, but taking Fabian Hurzeler's side into the top four, for a few hours at least."
Now it's four losses in a row! Man City stunned by Brighton fightback,"After dominating the early stages and taking the lead when Haaland burst through and poked past Bart Verbruggen at the second attempt, City stepped off the gas following the 30th minute, which allowed Brighton back into the game."
Now it's four losses in a row! Man City stunned by Brighton fightback,The Seagulls missed six big chances in the second period - amassing to 1.43 of Expected Goals - as Guardiola's side got lucky while on the ropes.
Now it's four losses in a row! Man City stunned by Brighton fightback,"Ederson was forced into a good save from Jack Hinshelwood's header, while he also snuffed a one-on-one chance for Kaoru Mitoma."
Now it's four losses in a row! Man City stunned by Brighton fightback,"Georginio Rutter headed over a good chance, while his replacement Pedro dragged wide after being played through over the top."
Now it's four losses in a row! Man City stunned by Brighton fightback,"But Brighton's pressure eventually told as Danny Welbeck trapped a cross from the left, causing a goalmouth scramble."
Now it's four losses in a row! Man City stunned by Brighton fightback,Pedro showed more initiative than the City defenders to slam home from close range.
Now it's four losses in a row! Man City stunned by Brighton fightback,"The Brighton goalscorer then turned provider five minutes later as he laid on the ball for the onrushing O'Riley, who blasted home while one-on-one."
Now it's four losses in a row! Man City stunned by Brighton fightback,Guardiola could only rock back in his chair as the result moved away from City.
Now it's four losses in a row! Man City stunned by Brighton fightback,"The champions had brought on Kevin De Bruyne before Brighton's two goals and the Belgian, clearly not match fit, curled just wide of the post late on."
Now it's four losses in a row! Man City stunned by Brighton fightback,"His fellow substitute Bernardo Silva dragged another effort wide of the far post, while Josko Gvardiol headed wide late on as Brighton held on during nine minutes of stoppage time."
Now it's four losses in a row! Man City stunned by Brighton fightback,"City, meanwhile, dropped more points in the title race and post-match frustration from Guardiola and Haaland said it all..."
Now it's four losses in a row! Man City stunned by Brighton fightback,"""Four bad results, the second half, that is one of the worst halves of football I have seen from a Pep Guardiola side, they were abject, they did not defend, or win individual battles or pass the ball forward at times."
Now it's four losses in a row! Man City stunned by Brighton fightback,"""First half they were excellent, the problem was they should have been 3-0 up, but second half when Hurzeler made the changes, there was only one team in it."
Now it's four losses in a row! Man City stunned by Brighton fightback,"""And once the game started to run away from you, then you are looking at characters, who is going to make that challenge and win that ball when you need it most?"
Now it's four losses in a row! Man City stunned by Brighton fightback,Who is going to make this team calm?
Now it's four losses in a row! Man City stunned by Brighton fightback,There was no one to do it.
Now it's four losses in a row! Man City stunned by Brighton fightback,"""They looked like a bunch of strangers and the goals they conceded summed it up, they were really poor goals from Man City's point of view."
Now it's four losses in a row! Man City stunned by Brighton fightback,"""But full credit to Brighton."""
Now it's four losses in a row! Man City stunned by Brighton fightback,"""Today we played really good in the first half, especially considering the opponent and what we created."
Now it's four losses in a row! Man City stunned by Brighton fightback,"We couldn't finish it, but it's never finished in the Premier League."
Now it's four losses in a row! Man City stunned by Brighton fightback,"""We could not keep the consistency of our game, our intensity, press and being aggressive for 90 minutes."
Now it's four losses in a row! Man City stunned by Brighton fightback,"In the second half, we could not be more aggressive in these areas."
Now it's four losses in a row! Man City stunned by Brighton fightback,In the end they scored the goals.
Now it's four losses in a row! Man City stunned by Brighton fightback,"""We are not able to continue for a long time in certain moments."
Now it's four losses in a row! Man City stunned by Brighton fightback,"But I'm pretty sure when the players come back, we can make some individual qualities of the team and we will be back."
Now it's four losses in a row! Man City stunned by Brighton fightback,"""It [losing four games in a row] always happens once in your lifetime right?"
Now it's four losses in a row! Man City stunned by Brighton fightback,"We lost two Premier League games, that is the point."
Now it's four losses in a row! Man City stunned by Brighton fightback,We have to change and be better to win.
Now it's four losses in a row! Man City stunned by Brighton fightback,We have to be in the position we are in in the table.
Now it's four losses in a row! Man City stunned by Brighton fightback,Hopefully the players come back.
Now it's four losses in a row! Man City stunned by Brighton fightback,"""Normally some people lose games."
Now it's four losses in a row! Man City stunned by Brighton fightback,Always there's the first time in your life.
Now it's four losses in a row! Man City stunned by Brighton fightback,"This is my challenge, our challenge."
Now it's four losses in a row! Man City stunned by Brighton fightback,I want to face it.
Now it's four losses in a row! Man City stunned by Brighton fightback,"I won't step back, more than ever I want to do it."
Now it's four losses in a row! Man City stunned by Brighton fightback,We want to analyse the fact how we perform.
Now it's four losses in a row! Man City stunned by Brighton fightback,There are many positives things in the game we lost.
Now it's four losses in a row! Man City stunned by Brighton fightback,"When I play bad, I'm the first to say I don't like it."""
Now it's four losses in a row! Man City stunned by Brighton fightback,"""It's always important to have a big squad, one you can make subs where the players will have an impact."
Now it's four losses in a row! Man City stunned by Brighton fightback,I'm happy for Joao and Matt with this impact.
Now it's four losses in a row! Man City stunned by Brighton fightback,They worked hard in the rehab.
Now it's four losses in a row! Man City stunned by Brighton fightback,"""Unfortunately a win against Man City only gives three points."
Now it's four losses in a row! Man City stunned by Brighton fightback,The club should be happy and self-belief and self-trust away from this game that they're able to beat everyone - that they can beat the establishment.
Now it's four losses in a row! Man City stunned by Brighton fightback,"""We have played Liverpool and Man City, there were four halves but we only played two halves."
Now it's four losses in a row! Man City stunned by Brighton fightback,"At Liverpool, we weren't good enough or intense enough to compete with the establishment."""
West Ham held by Everton as Pickford makes stunning save,London Stadium.
West Ham held by Everton as Pickford makes stunning save,West Ham were unable to make their second-half superiority count as underfire manager Julen Lopetegui watched his side held to a 0-0 draw by Everton at the London Stadium.
West Ham held by Everton as Pickford makes stunning save,Pressure remains on the Hammers boss after his side missed several good opportunities following the interval to secure a third straight home Premier League win.
West Ham held by Everton as Pickford makes stunning save,"The best chance fell to Crysencio Summerville, whose shot hit the inside of the post after being released by Lucas Paqueta."
West Ham held by Everton as Pickford makes stunning save,"Substitute Danny Ings saw his shot kept out by Jordan Pickford, who was then alert to make an even better save to deny the same player in stoppage time after a big deflection off James Tarkowski."
West Ham held by Everton as Pickford makes stunning save,"Everton's best efforts came in the first half, with Summerville tracking back to produce a vital last-ditch tackle on Abdoulaye Doucoure to deny what looked a certain goal, while Lukasz Fabianski later made a fine save to tip over Jesper Lindstrom's header from Orel Mangala's cross."
West Ham held by Everton as Pickford makes stunning save,"The result means Everton sit 16th on 10 points while West Ham are two places above their opponents, and two points better off - but it didn't prevent them being booed off at the final whistle."
West Ham held by Everton as Pickford makes stunning save,"""I'll always work under pressure,"" Lopetegui vowed."
West Ham held by Everton as Pickford makes stunning save,"""This is not something new."
West Ham held by Everton as Pickford makes stunning save,We are sure that we can finish [our job] and a lot can change in a few months.
West Ham held by Everton as Pickford makes stunning save,We're not happy right now... we're not doing enough things to be consistent.
West Ham held by Everton as Pickford makes stunning save,"We have to grow up as a team and we have to show more personality."""
West Ham held by Everton as Pickford makes stunning save,West Ham have been looking to lean on home comforts having won each of their previous two Premier League games at the London Stadium.
West Ham held by Everton as Pickford makes stunning save,But supporters jeered at the final whistle.
West Ham held by Everton as Pickford makes stunning save,"Lopetegui remains under pressure after last Saturday's 3-0 defeat at Nottingham Forest had left them floundering in the bottom half of the table, and they are still just six points above the Premier League relegation zone after Wolves' win over Southampton."
West Ham held by Everton as Pickford makes stunning save,It is understood there remains no appetite among the West Ham hierarchy to make a managerial change but another performance that failed to ignite until the closing stages will not change the mood music surrounding the club.
West Ham held by Everton as Pickford makes stunning save,It was the visitors who had the better of the opening half as Summerville produced a vital block to deny the returning Doucoure the opener after eight minutes.
West Ham held by Everton as Pickford makes stunning save,"Just three wins from the opening 10 league matches - including an extremely fortunate victory at home to Manchester United a fortnight ago - has raised serious questions about West Ham's decision to replace David Moyes with Lopetegui, but there were few signs of a rousing response until the closing stages of the first half."
West Ham held by Everton as Pickford makes stunning save,"It was not until the 44th minute that Pickford was forced into action as he kept out Jarrod Bowen's near-post effort, with Michail Antonio also having a shot blocked by the England No 1 moments later from an acute angle."
West Ham held by Everton as Pickford makes stunning save,Another Bowen shot deflected wide before a rasping drive from Guido Rodriguez was palmed away by Pickford.
West Ham held by Everton as Pickford makes stunning save,"Everton tired as the momentum shifted West Ham's way, but Pickford rose to the occasion to ensure his side did not come away with nothing."
West Ham held by Everton as Pickford makes stunning save,"After watching Summerville's effort thud against the frame of the goal, he batted away Ings' first effort before reacting superbly at the death to tip over a deflected shot from the former Liverpool forward to preserve a point."
West Ham held by Everton as Pickford makes stunning save,"Lopetegui added: ""It's normal if the fans aren't happy and we know why, as we only have 12 points, but there are some teams who are only three points more than us who are happy."
West Ham held by Everton as Pickford makes stunning save,We can do better but we can take the positives.
West Ham held by Everton as Pickford makes stunning save,"""We have a clean sheet from against a team with good players on the counter-attack and we only gave them one big chance which Fabianski saved."
West Ham held by Everton as Pickford makes stunning save,"""We will work 247 to ensure we get better."
West Ham held by Everton as Pickford makes stunning save,We have three or four important players out but it is not an excuse.
West Ham held by Everton as Pickford makes stunning save,"The players in the second half showed they are ready to take advantage of the opportunity and I would prefer to focus on the positives."""
West Ham held by Everton as Pickford makes stunning save,"""It's a good point and good clean sheet."
West Ham held by Everton as Pickford makes stunning save,"It was a tough decision to take Keano [Michael Keane] out, but that back five kept a lot of clean sheets last season and they did so again today."
West Ham held by Everton as Pickford makes stunning save,"""We couldn't find the edge and that bit of devil that is the difference, but there was a solid feel."
West Ham held by Everton as Pickford makes stunning save,"In the end, we come away slightly wondering if that was one we could've won, but equally Jordan made a fine save to make sure we got a point."""
West Ham held by Everton as Pickford makes stunning save,This gutsy goalless draw was not the sort you wanted to lose.
West Ham held by Everton as Pickford makes stunning save,"Seven days ago at St Mary's, Everton managed to be on the receiving end of a late sucker-punch, and when Ings came on as a second-half substitute, many of those who had made the same journey south to the capital will have feared a similar outcome."
West Ham held by Everton as Pickford makes stunning save,"Only Pickford's brilliance ensured that would not be the case, but in truth neither side deserved a win from a joyless encounter desperately lacking in quality."
West Ham held by Everton as Pickford makes stunning save,Summerville's defending was actually the highlight of a dreadful opening 45 minutes.
West Ham held by Everton as Pickford makes stunning save,His moment at the other end came from a rare flicker of guile as Paqueta dissected Everton's defence.
West Ham held by Everton as Pickford makes stunning save,It is clear to see what Dyche means about finding the devil.
West Ham held by Everton as Pickford makes stunning save,Full-back Vitalii Mykolenko shanked an effort wide on his wrong foot.
West Ham held by Everton as Pickford makes stunning save,It was a moment characteristic of the confidence levels of two teams navigating the Premier League's bottom half in a game that certainly won't live long in the memory.
Problems pile up for Palace as Wilson and Smith Rowe strike,"Selhurst ParkAttendance:Attendance25,142."
Problems pile up for Palace as Wilson and Smith Rowe strike,"Fulham super-sub Harry Wilson capped a brilliant week for him and the club by coming on to seal a 2-0 win at injury-hit Crystal Palace, a result which moves the Cottagers up to sixth in the Premier League and level on points with fourth-placed Chelsea  - and rings alarm bells for their hosts."
Problems pile up for Palace as Wilson and Smith Rowe strike,He thought he had made it a double double but his 94th-minute 'second' was ruled out by VAR for handball in the build-up.
Problems pile up for Palace as Wilson and Smith Rowe strike,"By the time Wilson arrived on the scene, Palace, down to 10 players following Daichi Kamada's red card for a high, reckless tackle on Kenny Tete with 14 minutes to play, were already up against it, having fallen behind when Emile Smith Rowe forced an error from Maxence Lacroix and shot Raul Jimenez's pass beyond Dean Henderson on the stroke of half-time."
Problems pile up for Palace as Wilson and Smith Rowe strike,"Missing a string of first-team regulars to injury, most notably chief creator Eberechi Eze, Palace struggled to contain Fulham throughout."
Problems pile up for Palace as Wilson and Smith Rowe strike,A makeshift central midfield pairing of Marc Guehi and 21-year-old debutant Justin Devenny summed up how thin their squad has become.
Problems pile up for Palace as Wilson and Smith Rowe strike,Oliver Glasner will be relieved to have the international break to recover some injured players - although with the Eagles just a point above the relegation zone they will have to hit the ground running when the Premier League resumes.
Problems pile up for Palace as Wilson and Smith Rowe strike,"It is a very different feeling in the Fulham camp right now, though."
Problems pile up for Palace as Wilson and Smith Rowe strike,Marco Silva's visitors had gone winless through October but back-to-back London derby victories inside a week have the Cottagers looking up the table.
Problems pile up for Palace as Wilson and Smith Rowe strike,"And with Smith Rowe, Iwobi and Reiss Nelson impressing on the ball, their fans can dream of exciting days ahead."
Problems pile up for Palace as Wilson and Smith Rowe strike,"The trio repeatedly combined through the first 45 to threaten Henderson's goal before, for the second time in the half, Fulham forced an error from a Palace defender playing out from the back."
Problems pile up for Palace as Wilson and Smith Rowe strike,Smith Rowe - who had carved open a series of chances - was clinical when his team-mates had not been.
Problems pile up for Palace as Wilson and Smith Rowe strike,The former Arsenal forward is rejuvenated at Fulham.
Problems pile up for Palace as Wilson and Smith Rowe strike,"It is a thrill to watch him fit and in full flow after so long on the sidelines at the Emirates and he was celebrating a 'second' soon after the break when he converted a sweeping Fulham counter involving Nelson and Iwobi, before the narrowest of offside calls was made by VAR."
Problems pile up for Palace as Wilson and Smith Rowe strike,"It was Fulham rather than Palace galvanised by that decision, with Henderson forced to save brilliantly from Andreas Pereira and tip another effort from the Brazilian over before Nelson fired another good sight at goal off target."
Problems pile up for Palace as Wilson and Smith Rowe strike,"Palace had been inches away just before Smith Rowe's opener, when former Selhurst favourite Joachim Andersen had to clear Jean-Philippe Mateta's header off the line, but if fine margins were at play in that moment, across the 90 minutes this was the story of a Fulham side in the ascendency and Palace struggling with shortages in their squad."
Problems pile up for Palace as Wilson and Smith Rowe strike,"""Today it's easy to sum up the game: Fulham were the better team."
Problems pile up for Palace as Wilson and Smith Rowe strike,We made too many easy mistakes.
Problems pile up for Palace as Wilson and Smith Rowe strike,When we had situations to come back into the game we didn't take them.
Problems pile up for Palace as Wilson and Smith Rowe strike,"Then the red card, 1-0 down, it's the first game this season where we deserved to lose the game."
Problems pile up for Palace as Wilson and Smith Rowe strike,"""We don't look for an excuse."
Problems pile up for Palace as Wilson and Smith Rowe strike,The team that played today could have done better in many situations.
Problems pile up for Palace as Wilson and Smith Rowe strike,We played too slow.
Problems pile up for Palace as Wilson and Smith Rowe strike,If you make so many mistakes you lose more and more of your confidence.
Problems pile up for Palace as Wilson and Smith Rowe strike,When there was the red card the game was over.
Problems pile up for Palace as Wilson and Smith Rowe strike,"""Today we had several players not in their best shape."
Problems pile up for Palace as Wilson and Smith Rowe strike,We did really well last week.
Problems pile up for Palace as Wilson and Smith Rowe strike,The players looked tired but also mentally tired.
Problems pile up for Palace as Wilson and Smith Rowe strike,"We have to get back that sharpness and freshness."""
Problems pile up for Palace as Wilson and Smith Rowe strike,"""It's clear we deserved the three points."
Problems pile up for Palace as Wilson and Smith Rowe strike,"Dominant from the first minute, knowing really well how Palace is going to try to punish us or create problems for us."
Problems pile up for Palace as Wilson and Smith Rowe strike,We controlled well most of the game.
Problems pile up for Palace as Wilson and Smith Rowe strike,The thing that pleased me more was the way we moved the ball.
Problems pile up for Palace as Wilson and Smith Rowe strike,"""Two goals, plus two goals disallowed, we can be proud of the way we played again."
Problems pile up for Palace as Wilson and Smith Rowe strike,We should have scored more goals but overall a great performance.
Problems pile up for Palace as Wilson and Smith Rowe strike,"We needed a clean sheet."""
Problems pile up for Palace as Wilson and Smith Rowe strike,"With injury-hit Crystal Palace forced to field Marc Guehi and debutant Justin Devenny in a makeshift midfield, Emile Smith Rowe must have been licking his lips."
Problems pile up for Palace as Wilson and Smith Rowe strike,"The in-form Fulham forward feasted on the space he was able to find in that area of the pitch, picking out the runs of his team-mates beyond a stretched defence, and finding the net himself."
Problems pile up for Palace as Wilson and Smith Rowe strike,The narrowest of offside calls saw him miss out on a second goal.
Problems pile up for Palace as Wilson and Smith Rowe strike,It was a performance which may have been aided by Palace's problems but it underlined the fine form rejuvenated Smith Rowe has found at Fulham.
Problems pile up for Palace as Wilson and Smith Rowe strike,"Having watched him up close twice in the space of a week, it is clear to see the confidence and verve which propelled him into the spotlight at Arsenal is back."
Problems pile up for Palace as Wilson and Smith Rowe strike,After all his injury problems that is something to be celebrated.
Problems pile up for Palace as Wilson and Smith Rowe strike,His influence has helped Fulham rise up the Premier League table.
Problems pile up for Palace as Wilson and Smith Rowe strike,But how high can Smith Rowe go?
Problems pile up for Palace as Wilson and Smith Rowe strike,During the past international break there was plenty of debate about who should fill the attacking roles in the team.
Problems pile up for Palace as Wilson and Smith Rowe strike,Going into this international break Smith Rowe again is not in the squad.
Problems pile up for Palace as Wilson and Smith Rowe strike,But if he keeps playing like this the picture could look very different come March.
Problems pile up for Palace as Wilson and Smith Rowe strike,Thomas Tuchel should be paying attention.
Problems pile up for Palace as Wilson and Smith Rowe strike,"After steps forward against Tottenham, Aston Villa and Wolves, Crystal Palace were suffering again on Saturday, when their bare-bones squad was beaten down by Fulham."
Problems pile up for Palace as Wilson and Smith Rowe strike,Wolves' win at Southampton has darkened their situation.
Problems pile up for Palace as Wilson and Smith Rowe strike,Just one point and goal difference spares them from a place in the relegation zone.
Problems pile up for Palace as Wilson and Smith Rowe strike,Their absentee number is extensive - there were two goalkeepers and three teenagers on their bench.
Problems pile up for Palace as Wilson and Smith Rowe strike,"At Selhurst, Will Hughes' suspension added to an injury list including chief creator Eberechi Eze and forward Eddie Nketiah."
Problems pile up for Palace as Wilson and Smith Rowe strike,Hughes will be back for the trip to Aston Villa after the international break but now Daichi Kamada will be missing after his straight red.
Problems pile up for Palace as Wilson and Smith Rowe strike,Of the players in the treatment room?
Problems pile up for Palace as Wilson and Smith Rowe strike,"""It could be that no one comes back,"" said boss Oliver Glasner."
Problems pile up for Palace as Wilson and Smith Rowe strike,"""Maybe one."
Problems pile up for Palace as Wilson and Smith Rowe strike,"Maximum two straight after the international break."""
Problems pile up for Palace as Wilson and Smith Rowe strike,Even with those mitigating circumstances - how could a makeshift midfield of Marc Guehi and debutant Justin Devenny cope with Fulham's playmakers?
Problems pile up for Palace as Wilson and Smith Rowe strike,- Glasner was less than impressed with his side's performance.
Problems pile up for Palace as Wilson and Smith Rowe strike,"""We made too many easy mistakes,"" he said, listing similar errors against Nottingham Forest and Wolves."
Problems pile up for Palace as Wilson and Smith Rowe strike,"With Palace's absence problem seemingly not set to lighten substantially over the next two weeks, Glasner has plenty of hard work to do on the training ground to get more out of what he's got."
Problems pile up for Palace as Wilson and Smith Rowe strike,"""The players looked tired but also mentally tired,"" he said."
Problems pile up for Palace as Wilson and Smith Rowe strike,They must freshen up quickly for the real fight they look to have on their hands right now…
Wissa scores twice as Brentford beat Bournemouth in thriller,Gtech Community Stadium.
Wissa scores twice as Brentford beat Bournemouth in thriller,Brentford twice came from behind to stay unbeaten at home in the Premier League in a pulsating 3-2 win over Bournemouth at the Gtech Community Stadium.
Wissa scores twice as Brentford beat Bournemouth in thriller,"Bournemouth had been on an impressive run, beating title challengers Manchester City and Arsenal in their last three games, but came unstuck in west London despite leading through Evanilson's opener and then Justin Kluivert from a set-piece routine."
Wissa scores twice as Brentford beat Bournemouth in thriller,"Yoane Wissa scored twice against Bournemouth, his second proving to be the winner and the third goal in a frantic 10-minute period in the second half that saw Brentford equalise just 21 seconds after the restart following Kluivert making it 2-1."
Wissa scores twice as Brentford beat Bournemouth in thriller,"Mikkel Damsgaard scored that equaliser, beating Bournemouth goalkeeper Kepa Arrizabalaga at his near post on a shaky afternoon for the Chelsea loanee, raising eyebrows about Andoni Iraola's decision to drop Mark Travers after two impressive stand-in displays."
Wissa scores twice as Brentford beat Bournemouth in thriller,"Bournemouth scored the opener after Sepp van den Berg's poor backpass was pounced on by Evanilson, the club-record signing rounding goalkeeper Mark Flekken to score a career-best third goal in three games after netting against City and Aston Villa."
Wissa scores twice as Brentford beat Bournemouth in thriller,"Brentford were second best until the opener but fought their way back into the game by becoming more physical, equalising through Wissa's header at the back post after a long throw-in."
Wissa scores twice as Brentford beat Bournemouth in thriller,"His second, in the second half, was a lovely, chipped finish."
Wissa scores twice as Brentford beat Bournemouth in thriller,"Thomas Franks' side, who move one place above Bournemouth into 10th, had to cling on to maintain their unbeaten home record, with substitute Dean Huijsen striking the bar late on, as they bounced back from defeat at Fulham on Monday."
Wissa scores twice as Brentford beat Bournemouth in thriller,"Bournemouth boss Andoni Iraola was disappointed to lose at Brentford, in a game he said went largely as they had planned for, and bemoaned the officials failing to give a penalty for a challenge on Evanilson in the second half."
Wissa scores twice as Brentford beat Bournemouth in thriller,"""It's a hard one for us, because I'm very happy with the performance, especially in the first half."
Wissa scores twice as Brentford beat Bournemouth in thriller,"In the second half, we couldn't make the difference."
Wissa scores twice as Brentford beat Bournemouth in thriller,"""In the second half, we had less rhythm."
Wissa scores twice as Brentford beat Bournemouth in thriller,"The game become more stop-start, there were more set-plays."
Wissa scores twice as Brentford beat Bournemouth in thriller,Probably the key moment is when we conceded after going up 2-1.
Wissa scores twice as Brentford beat Bournemouth in thriller,"""More or less, the game was what we expected."
Wissa scores twice as Brentford beat Bournemouth in thriller,"We have to manage these situations much better and they punished us, but our performance deserved much, much more today."""
Wissa scores twice as Brentford beat Bournemouth in thriller,Brentford boss Thomas Frank praised his side's free-scoring start to the season - they have the joint-most goals in the Premier League on 22 - but acknowledged the need to improve defensively after conceding two or more for the fifth game running in the league.
Wissa scores twice as Brentford beat Bournemouth in thriller,"""The bounce-back mentality was unbelievably good."
Wissa scores twice as Brentford beat Bournemouth in thriller,Maybe even more impressive than if we just had won 3-0 because we actually played bad the first 20 minutes.
Wissa scores twice as Brentford beat Bournemouth in thriller,Bournemouth were better than us.
Wissa scores twice as Brentford beat Bournemouth in thriller,"""We gave them clearly the first goal and then one or two other chances."
Wissa scores twice as Brentford beat Bournemouth in thriller,But after that goal we stepped up and we found some of that great bounce-back mentality.
Wissa scores twice as Brentford beat Bournemouth in thriller,The rest of the half was very even.
Wissa scores twice as Brentford beat Bournemouth in thriller,Maybe slightly up for us and we scored a fine goal.
Wissa scores twice as Brentford beat Bournemouth in thriller,"""Second half we are clearly the best team on the pitch."
Wissa scores twice as Brentford beat Bournemouth in thriller,It was well laid on the short corner from them and then they had that lofted cross in the end.
Wissa scores twice as Brentford beat Bournemouth in thriller,"Besides that, I think we gave nothing away in the second half and we are very dangerous going forward."""
Wissa scores twice as Brentford beat Bournemouth in thriller,"Asked about conceding seven goals in their last three league games, Frank said: ""I am a positive guy."
Wissa scores twice as Brentford beat Bournemouth in thriller,So I am more focusing on the positive.
Wissa scores twice as Brentford beat Bournemouth in thriller,And the positive is that we are a very dangerous team going forward.
Wissa scores twice as Brentford beat Bournemouth in thriller,"""We must be up there [as a team that's scored the most goals]."
Wissa scores twice as Brentford beat Bournemouth in thriller,That is incredible.
Wissa scores twice as Brentford beat Bournemouth in thriller,We are Brentford.
Wissa scores twice as Brentford beat Bournemouth in thriller,I think that is insanely good.
Wissa scores twice as Brentford beat Bournemouth in thriller,I think people don't understand how good it is.
Wissa scores twice as Brentford beat Bournemouth in thriller,"""But of course, I am also very ambitious and I would love us to win 3-0 today."""
Wissa scores twice as Brentford beat Bournemouth in thriller,"Bournemouth's last two impressive results, a 1-1 draw at Aston Villa and the 1-0 home win over champions Manchester City, were in part thanks to the fine goalkeeping of deputy Travers, standing in for the injured Kepa."
Wissa scores twice as Brentford beat Bournemouth in thriller,"But his player-of-the-match performance at Villa Park and a point-blank stop to keep out Erling Haaland in added time were not enough to convince Iraola to keep him in the side at Brentford, with Kepa once again available after returning to fitness."
Wissa scores twice as Brentford beat Bournemouth in thriller,"Iraola's change, perhaps predictably, knowing Kepa's frailties at dealing with crosses and Brentford being one of the most direct teams in the Premier League, shone an unwanted spotlight on the goalkeeping situation at Bournemouth with the Spaniard struggling."
Wissa scores twice as Brentford beat Bournemouth in thriller,"Kepa flapped at crosses throughout the game, and it was his inability to hold on to a ball into the box that led to Brentford getting the throw-in from which Wissa headed in a first-half equaliser."
Wissa scores twice as Brentford beat Bournemouth in thriller,"But the most glaring of errors on a difficult afternoon for the Chelsea loanee, signed for a world-record £71.6m fee for a goalkeeper from Athletic Bilbao in 2018, was his failure to cover his near post for Damsgaard's equaliser in the second half."
Wissa scores twice as Brentford beat Bournemouth in thriller,"Iraola defended his goalkeeper in his post-match press conference, in which Kepa was the most asked about topic, but even the head coach acknowledged he could have done better for Brentford's second equaliser."
Wissa scores twice as Brentford beat Bournemouth in thriller,The Bournemouth boss will have plenty of time over the international break to consider how he handles this situation moving forward.
Wissa scores twice as Brentford beat Bournemouth in thriller,"But there is a decision to make with Travers, now 25, likely to be seeking more game-time and Kepa's future beyond this season unclear."
Wissa scores twice as Brentford beat Bournemouth in thriller,"Travers is banging on the door for Kepa's job, and it is becoming harder and harder to ignore."
Wissa scores twice as Brentford beat Bournemouth in thriller,Brentford made headlines earlier in the season for scoring in the first two minutes for four Premier League games running.
Wissa scores twice as Brentford beat Bournemouth in thriller,"They repeated their party trick, mid-game admittedly, against Bournemouth, equalising to make it 2-2 just 21 seconds after the restart."
Wissa scores twice as Brentford beat Bournemouth in thriller,No sooner had Bournemouth taken the lead through a wonderfully-worked set-piece goal finished off by Kluivert than they were picking the ball out of their own net.
Wissa scores twice as Brentford beat Bournemouth in thriller,"It was a killer blow, one that likely decided the game, turning the momentum on its head."
Wissa scores twice as Brentford beat Bournemouth in thriller,Iraola was frustrated after the game because his side knew what was coming but could not stop it.
Wissa scores twice as Brentford beat Bournemouth in thriller,"""We know."
Wissa scores twice as Brentford beat Bournemouth in thriller,Everyone knows.
Wissa scores twice as Brentford beat Bournemouth in thriller,They score a lot of goals after kick-offs.
Wissa scores twice as Brentford beat Bournemouth in thriller,They go back and then go long on the left.
Wissa scores twice as Brentford beat Bournemouth in thriller,"You have to be better than them."""
Wissa scores twice as Brentford beat Bournemouth in thriller,"Bournemouth, on this occasion, were not."
Wissa scores twice as Brentford beat Bournemouth in thriller,"Others have tried and failed to stop Brentford, the Premier League's restart kings."
Wissa scores twice as Brentford beat Bournemouth in thriller,"Man City, Tottenham, West Ham and Wolves fell victim to this earlier in the season."
Wissa scores twice as Brentford beat Bournemouth in thriller,"Likely others will follow, too."
Wissa scores twice as Brentford beat Bournemouth in thriller,"● This is the first time Bournemouth have lost a Premier League game in which they have led twice, while it's now three defeats in their last four league matches on the road (D1)."
Wissa scores twice as Brentford beat Bournemouth in thriller,"● Brentford have scored eight goals from throw-ins in the Premier League since their first season in the competition in 2021-22, more than twice as many as any other side."
Wissa scores twice as Brentford beat Bournemouth in thriller,● There was just 80 seconds between Justin Kluivert's goal to put Bournemouth 2-1 up (48:16) and Mikkel Damsgaard's equaliser for Brentford (49:36).
Wolves secure crucial first win of PL season to leapfrog Southampton,"MolineuxAttendance:Attendance31,403."
